,Titel_name,authers,publicatio_type,paper_links,abstracts,pub_med_url
0,"
                Electromagnetic fields and optomechanics in cancer diagnostics and treatment.
              ","Salari V, Barzanjeh S, Cifra M, Simon C, Scholkmann F, Alirezaei Z, Tuszynski JA.",Review.,"
        doi: 10.2741/4651.
      ","

      
      In this paper, we discuss biological effects of electromagnetic (EM) ﬁelds in the context of cancer biology. In particular, we review the nanomechanical properties of microtubules (MTs), the latter being one of the most successful targets for cancer therapy. We propose an investigation on the coupling of electromagnetic radiation to mechanical vibrations of MTs as an important basis for biological and medical applications. In our opinion, optomechanical methods can accurately monitor and control the mechanical properties of isolated MTs in a liquid environment. Consequently, studying nanomechanical properties of MTs may give useful information for future applications to diagnostic and therapeutic technologies involving non-invasive externally applied physical ﬁelds. For example, electromagnetic ﬁelds or high intensity ultrasound can be used therapeutically avoiding harmful side effects of chemotherapeutic agents or classical radiation therapy.
    
",https://pubmed.ncbi.nlm.nih.gov/29293441/
1,"
                Development of point-of-care nanobiosensors for breast cancers diagnosis.
              ","Sharifi M, Hasan A, Attar F, Taghizadeh A, Falahati M.",Review.,"
        doi: 10.1016/j.talanta.2020.121091.
      ","

      
      Nanobiosensors have played a key role as portable devices in the rapid breast cancer diagnosis and in clinical medicine like point-of-care devices. However, understanding biomarkers and nanomaterials is crucial for improving the performance of nanobiosensors for all stages of different diseases or treatment. Therefore, this study not only investigates the effect of biomarkers and nanomaterials such as metallic, carbon structures and quantum dot on the accuracy of nanobiosensors for early detection of breast cancer, but also exhibits how they are used in vivo and in vitro and their application in point-of-care devices for personalized cancer diagnosis. Afterwards, application of fluidics and microchips as point-of-care nanobiosensors in the early detection of biomarkers associated with breast cancer diagnosis was discussed. Furthermore, the integration of nanobiosensors in nanomotors platforms for the treatment of breast cancer was overviewed. Finally, the ongoing challenges and future trends on the detection limit of nanobiosensors, their application in point-of-care clinical diagnostics and the approaches implemented for their improvements by highlighting the successful reports on the revolution of personalized diagnostics were surveyed.
    
",https://pubmed.ncbi.nlm.nih.gov/32498898/
2,"
Quantum entanglement in photoactive prebiotic systems.
              ","Tamulis A, Grigalavicius M.",Review.,"
        doi: 10.1007/s11693-014-9138-6.
      ","

      
      This paper contains the review of quantum entanglement investigations in living systems, and in the quantum mechanically modelled photoactive prebiotic kernel systems. We define our modelled self-assembled supramolecular photoactive centres, composed of one or more sensitizer molecules, precursors of fatty acids and a number of water molecules, as a photoactive prebiotic kernel systems. We propose that life first emerged in the form of such minimal photoactive prebiotic kernel systems and later in the process of evolution these photoactive prebiotic kernel systems would have produced fatty acids and covered themselves with fatty acid envelopes to become the minimal cells of the Fatty Acid World. Specifically, we model self-assembling of photoactive prebiotic systems with observed quantum entanglement phenomena. We address the idea that quantum entanglement was important in the first stages of origins of life and evolution of the biospheres because simultaneously excite two prebiotic kernels in the system by appearance of two additional quantum entangled excited states, leading to faster growth and self-replication of minimal living cells. The quantum mechanically modelled possibility of synthesizing artificial self-reproducing quantum entangled prebiotic kernel systems and minimal cells also impacts the possibility of the most probable path of emergence of protocells on the Earth or elsewhere. We also examine the quantum entangled logic gates discovered in the modelled systems composed of two prebiotic kernels. Such logic gates may have application in the destruction of cancer cells or becoming building blocks of new forms of artificial cells including magnetically active ones. 
    
",https://pubmed.ncbi.nlm.nih.gov/24799958/
3,"
                Bioapplications of graphene constructed functional nanomaterials.
              ","Gulzar A, Yang P, He F, Xu J, Yang D, Xu L, Jan MO.",Review.,"
        doi: 10.1016/j.cbi.2016.11.019.
      ","

      
      Graphene has distinctive mechanical, electronic, and optical properties, which researchers have applied to develop innovative electronic materials including transparent conductors and ultrafast transistors. Lately, the understanding of various chemical properties of graphene has expedited its application in high-performance devices that generate and store energy. Graphene is now increasing its terrain outside electronic and chemical applications toward biomedical areas such as precise bio sensing through graphene-quenched fluorescence, graphene-enhanced cell differentiation and growth, and graphene-assisted laser desorption/ionization for mass spectrometry. In this Account, we evaluate recent efforts to apply graphene and graphene oxides (GO) to biomedical research and a few different approaches to prepare graphene materials designed for biomedical applications and a brief perspective on their future applications. Because of its outstanding aqueous processability, amphiphilicity, surface functionalizability, surface enhanced Raman scattering (SERS), and fluorescence quenching ability, GO chemically exfoliated from oxidized graphite is considered a promising material for biological applications. In addition, the hydrophobicity and flexibility of large-area graphene synthesized by chemical vapor deposition (CVD) allow this material to play an important role in cell growth and differentiation. Graphene is considered to be an encouraging and smart candidate for numerous biomedical applications such as NIR-responsive cancer therapy and fluorescence bio-imaging and drug delivery. To that end, suitable preparation and unique approaches to utilize graphene-based materials such as graphene oxides (GOs), reduced graphene oxides (rGOs), and graphene quantum dots (GQDs) in biology and medical science are gaining growing interest.
    
",https://pubmed.ncbi.nlm.nih.gov/27876601/
4,"
                Carbon-Based Nanomaterials for Biomedical Applications: A Recent Study.
              ","Maiti D, Tong X, Mou X, Yang K.",Review.,"
        doi: 10.3389/fphar.2018.01401.
      ","

      
      The study of carbon-based nanomaterials (CBNs) for biomedical applications has attracted great attention due to their unique chemical and physical properties including thermal, mechanical, electrical, optical and structural diversity. With the help of these intrinsic properties, CBNs, including carbon nanotubes (CNT), graphene oxide (GO), and graphene quantum dots (GQDs), have been extensively investigated in biomedical applications. This review summarizes the most recent studies in developing of CBNs for various biomedical applications including bio-sensing, drug delivery and cancer therapy.
    
",https://pubmed.ncbi.nlm.nih.gov/30914959/
5,"
                Graphene-based nanomaterials for versatile imaging studies.
              ","Yoo JM, Kang JH, Hong BH.",Review.,"
        doi: 10.1039/c5cs00072f.
      ","

      
      Over the last decade, interest in graphene has surged because of its unprecedented physical, chemical, electrical, and mechanical properties. In recent years, researchers' interests have gradually shifted to other notable properties of graphene - its environmentally-friendly nature with outstanding optical properties. Thus, graphene is considered to be a promising and attractive candidate for various biomedical applications such as NIR-responsive cancer therapy and fluorescence bio-imaging. To that end, appropriate preparation and novel approaches to utilize graphene-based materials such as graphene oxides (GOs), reduced graphene oxides (rGOs), and graphene quantum dots (GQDs) in biology and medical science are gaining growing interest. In this review, we highlight recent applications of graphene-based materials as novel prospects for versatile imaging studies with a brief perspective on their future applications. 
    
",https://pubmed.ncbi.nlm.nih.gov/25777530/
6,"
                Recent advances in nanomaterial-based electrochemical and optical sensing platforms for microRNA assays.
              ","Wang YH, He LL, Huang KJ, Chen YX, Wang SY, Liu ZH, Li D.",Review.,"
        doi: 10.1039/c9an00081j.
      ","

      
      MicroRNA (MiRNA) plays a crucial role in biological cells to enable assessment of a cancer's development stage. Increasing evidence has shown that the accurate and sensitive detection of miRNA holds the key toward correct disease diagnosis. However, some characteristics of miRNAs, such as their short chains, low concentration, and similar sequences, make it difficult to detect miRNA in biological samples. Nanomaterials usually have good optical, electronic, and mechanical properties and therefore provide new possibilities for improving the performance of miRNA assays. Many different sorts of nanomaterials, including metal nanomaterials, carbon nanomaterials, quantum dots, and transition-metal dichalcogenides, have been used to construct optical and electrochemical assays for miRNA and have shown attractive results. This review describes recent efforts in the application of nanomaterials as sensing elements in electrochemical and optical miRNA assays. The analytical figures of merit of various methods for the detection of miRNA are compared in the present article. The current capabilities, limitations, and future challenges in miRNA detection and analysis based on nanomaterials are also addressed.
    
",https://pubmed.ncbi.nlm.nih.gov/30916675/
7,"
                Live cell biosensing platforms using graphene-based hybrid nanomaterials.
              ","Kim TH, Lee D, Choi JW.",Review.,"
        doi: 10.1016/j.bios.2017.03.032.
      ","

      
      A novel strategy to precisely detect or monitor various biomaterials in living cells poses paramount importance in understanding cellular processes. Graphene, a newly emerged two-dimensional carbon material, has been widely utilized for biosensors owing to its multifarious characteristics including mechanical, electrical, and optical properties (e.g. stability, conductivity, fluorescence quenching and photoluminescence). In addition, graphene derivatives and their innate characteristics, such as biocompatibility low cytotoxicity and water solubility have facilitated the use of graphene-based materials for live cell biosensing, wherein graphene is utilized as a core material by itself or in combination with other functional nanomaterials to load target-specific probes, fluorescent dyes, and other signaling molecules. Such graphene-based hybrid nanomaterials have been employed to detect various cellular entities in living cells, including ions, biomolecules, genetic molecules, proteins, enzymes, and even whole cells. The following review will discuss a number of previous studies in which graphene-based hybrid constructs were used for live cell biosensing, and their potential applications in cancer research and stem cell therapy.
    
",https://pubmed.ncbi.nlm.nih.gov/28342377/
8,"
                Synthesis, properties and biomedical applications of carbon-based quantum dots: An updated review.
              ","Namdari P, Negahdari B, Eatemadi A.",Review.,"
        doi: 10.1016/j.biopha.2016.12.108.
      ","

      
      Carbon-based quantum dots (CQDs) are a newly developed class of carbon nano-materials that have attracted much interest and attention as promising competitors to already available semiconductor quantum dots owing to their un-comparable and unique properties. In addition, controllability of CQDs unique physiochemical properties is as a result of their surface passivation and functionalization. This is an update article (between 2013 and 2016) on the recent progress, characteristics and synthesis methods of CQDs and different advantages in varieties of applications.
    
",https://pubmed.ncbi.nlm.nih.gov/28061404/
9,"
                Functional DNA Molecules Enable Selective and Stimuli-Responsive Nanoparticles for Biomedical Applications.
              ","Li L, Xing H, Zhang J, Lu Y.",Review.,"
        doi: 10.1021/acs.accounts.9b00167.
      ","

      
      Nanoparticles (NPs) have enormous potential to improve disease diagnosis and treatment due to their intrinsic electronic, optical, magnetic, mechanical, and physiological properties. To realize their full potential for nanomedicine, NPs must be biocompatible and targetable toward specific biomolecules to ensure selective sensing, imaging, and drug delivery in complex environments such as living cells, tissues, animals, and human bodies. In this Account, we summarize our efforts to impart specific biocompatibility and biorecognition functionality to NPs by developing strategies to integrate inorganic and organic NPs with functional DNA (fDNA), including aptamers, DNAzymes, and aptazymes to create fDNA-NPs. These hybrid NPs take advantage of fDNA's ability to either bind targets or catalyze reactions in the presence of targets selectively and utilize their unique physicochemical properties including small size, low immunogenicity, and ease of synthesis and chemical modification in comparison with other molecules such as antibodies. By integrating inorganic NPs such as gold NPs, quantum dots, and iron oxide nanoparticles with fDNA, we designed stimuli-responsive fDNA-NPs that exhibit target induced assembly and disassembly of NPs, resulting in a variety of colorimetric, fluorescent, and magnetic resonance imaging (MRI)-based sensors for diagnostic of a broad range of analytes. To impart both biocompatibility and selectivity on inorganic NPs for targeted bioimaging, we have demonstrated DNA-mediated surface functionalization, shape-controlled synthesis, and coordinative assembly of such NPs as specific bioprobes. A highlight is provided on the construction of fDNA-based nanoprobes with light-activatable sensing and imaging functions, which provides precise control of recognition properties of fDNA with high spatiotemporal resolution. To explore the potential of organic NPs for biosensing applications, we have developed an enzyme-responsive fDNA-liposome as a universal sensing platform compatible with diverse biological targets as well as different detection methods including fluorescence, MRI, or temperature, making possible point-of-care diagnostics. To expand the application regime of organic NPs, we collaborated with the Zimmerman group to prepare single-chain block copolymer-based NPs and incorporated it with a variety of functions, including monovalent DNA for assembly, tunable surface chemistry for cellular imaging, and coordinative Cu(II) sites for catalyzing intracellular click reactions, demonstrating the potential of using organic NPs to create promising fDNA-NP systems with programmable functionalities. Furthermore, we survey our recent endeavor in integration of cell-specific aptamers with different NPs for targeted drug delivery, showing that introducing stimuli-responsive properties into NPs that target tumor microenvironments would enable safer and more effective therapy for cancers. Finally, current challenges and future perspectives in fDNA-mediated engineering of NPs for biomedical applications are discussed.
    
",https://pubmed.ncbi.nlm.nih.gov/31411853/
